请简述Java入门编程中的开发三步骤。	编写，编译，运行
请说出Java中常见12个关键字。	八种基本数据类型对应的关键字，public，static，class，private，void
请简述Java中标识符定义的硬性要求	"1.可以由字母，数字，下划线，美元符号组成 2.不能是关键字 3.不能数字开头"
请说出Java具体8种基本数据类型	byte short int long float double char boolean
请简述Java语言跨平台原理	每个平台都有自己的Java虚拟机，这些虚拟机的共同作用是用来运行Java程序
请说出基本数据类型自动转换的规律。	小类型自动转大类型, byte short char 运算时自动转int类型
请说出基本数据类型强制转换的规律，及转换格式。	大类型转小类型，转换时需要使用强制转换符号，即小括号，在小括号写入需要转换的类型
请说出五种Java常见的运算符	算术运算符，赋值运算符，关系运算符，逻辑运算符，三元运算符
请说出所有关系运算符（比较运算符）的符号	> >= < <= !=
请说出&&的两个特点	1.一假即假，2.短路特点（&&前面的结果为false则符号后面的条件不运算得到结果为false）
请说出||的两个特点	1.一真即真，2.短路特点（||前面的结果为true则符号后面的条件不运算得到结果为true）
请说出switch受检值接受的数据类型有那些	byte short char int 字符串 枚举
请简述switch中case穿透性	在switch语句中，如果case的后面不写break，将出现穿透现象，也就是不会在判断下一个case的值，直接向后运行，直到遇到break，或者整体switch结束
请说出循环语句4个组成部分	1.初始化语句，2.循环判断语句，3.循环体语句,4.步进语句
请说出3种循环语句的关键字	for  while  do-while
请说出跳转语句continue和break的使用区别	continue：循环中用来结束当此循环的继续下一次循环；break:在switch中用来结束switch结构，2.在循环中用来结束循环结构
请说出5个IDEA常用的快捷键或者快捷操作	Ctrl+D行复制,Ctrl+Y删除行,Alt+Shift+上下箭头上下移动代码，psm，.fori . forr ,sout,soutv …等
请说出数组的特点	长度固定不变
请说出访问数组元素的格式	数组名[索引]
请说出JVM中常见的三个内存空间	栈，堆，方法区
请简述数组越界异常的原因	访问数组时索引超出边界
定义一个无参无返回值的方法，请问参数列表和返回值类型应该固定怎么写？	返回值固定void，参数列表什么也不写
请说出方法调用的三种形式	1.直接调用，2.赋值调用，3.打印调用
请说出方法重载的概念	（同名不同参）在同一个类中，存在一个以上的同名方法，只要它们的参数列表不同即可，与修饰符和返回值类型无关。
请说出多个方法重载时参数列表的特点	参数列表：个数不同，数据类型不同，顺序不同
请说出类的两个组成部分	成员变量、成员方法
请说出创建的对象的格式	类名 对象名 = new 构造方法(参数);
请说出怎么访问类中的成员	对象名.成员变量  对象名.成员方法()
局部变量和成员变量若重名时，请问如何解决区别成员变量？	直接在成员变量前加上 this.
请说出封装的关键字	private
请说出成员变量封装后的特点	private修饰后的成员变量和成员方法，只在本类中才能访问，其他类不能直接访问
请说出封装成员变量的格式	private 数据类型 变量名;
请说出this关键字的含义	1）当前所在类的对象，2）方法被哪个对象调用，方法中的this就代表那个对象。即谁在调用，this就代表谁
请说出构造方法的作用	构造方法用来初始化该对象，给对象的成员变量赋初始值
请说出构造方法的的两个特点	1.没有返回值没有void，2.方法名和类名一致
请说出给封装成员变量赋值的两种方式	1.通过含参构造方法, 2.通过setter方法
请说出字符串对象通过构造方法创建和直接赋值的区别	1.直接赋值：保存在常量池，可以共享 2. 构造创建：保存堆中，不可以共享
请说出字符串比较时 ==和equals的区别	1.==用来判断是否是同一个字符串 2.equals比较String类型: 比较的是字符串的内容是否相同
请说出StringBuilder类和String类的区别	1.String类内容不可以改变 2.StringBuilder类内容可以改变
请说出如何实现StringBuilder类和String类的相互转换	1.StringBuilder转换为String：通过toString() 就可以实现把 StringBuilder 转换为 String  2.String转换为StringBuilder:通过构造方法就可以实现把 String 转换为 StringBuilder
